,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
467,0.19985928535461425,0.008753269643015508,0.015993022918701173,0.006850639919837081,True,28,sqrt,3,5,41,"{'bootstrap': True, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 41}",0.26570752014163657,0.5808136093185686,0.5215434681857033,0.34303121879551035,0.32302554160989805,0.40682427161026335,0.12201516461591755,1577
468,0.27159943580627444,0.08207148796481017,0.029447174072265624,0.012221756363623772,True,28,sqrt,3,5,45,"{'bootstrap': True, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 45}",0.2674254948675532,0.5872073064878163,0.5249055579308093,0.3333796893280917,0.33192534153334563,0.40896867802952325,0.12401146108882845,1329
469,0.3854692459106445,0.10815744241723103,0.05001158714294433,0.031042180920930813,True,28,sqrt,3,5,50,"{'bootstrap': True, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 50}",0.26404841399887913,0.5798329561917532,0.5198314934519099,0.32504798696922554,0.3289253609222422,0.40353724230680205,0.12311714815858439,2016
470,0.09381194114685058,0.023719471365683982,0.01428675651550293,0.014066661816086288,True,28,sqrt,3,10,10,"{'bootstrap': True, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 10}",0.2795156822686278,0.5972909188117075,0.4863019150762835,0.3368199250175833,0.38068570004526336,0.416122828243893,0.1130957418431048,591
471,0.17763781547546387,0.018217761794131905,0.0189455509185791,0.02383154332899695,True,28,sqrt,3,10,14,"{'bootstrap': True, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 14}",0.26692450478575025,0.6467662617626634,0.4911012943796863,0.323991373823034,0.3806494753411386,0.4218865820184545,0.13465419629860903,377
472,0.12360100746154785,0.046965926145904224,0.011451625823974609,0.008318628350200006,True,28,sqrt,3,10,18,"{'bootstrap': True, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 18}",0.24918060892721794,0.6161154277422021,0.4824515740101689,0.34311310706492737,0.3609518136649119,0.4103625062818857,0.12686575633335395,1223
473,0.10022392272949218,0.0013389133363481067,0.020019674301147462,0.001444993138936012,True,28,sqrt,3,10,23,"{'bootstrap': True, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 23}",0.23484065779040963,0.6254151374133772,0.495703393348519,0.3466831293214552,0.3536387187240593,0.411256207319564,0.1353567715904987,1155
474,0.12394700050354004,0.013131782426201903,0.014268732070922852,0.0074825994924952975,True,28,sqrt,3,10,27,"{'bootstrap': True, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 27}",0.23941107088386104,0.6058503039123891,0.4995857825395348,0.3417529052173448,0.3575548876817295,0.4088309900469718,0.12875158992710298,1393
475,0.14730362892150878,0.005851225062413722,0.019704675674438475,0.006887465295422593,True,28,sqrt,3,10,32,"{'bootstrap': True, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 32}",0.23592763061921562,0.6103851347877456,0.5024850970716358,0.3438706940684124,0.34204984084011736,0.4069436794774253,0.13262917398766866,1542
476,0.16506237983703614,0.014133276468043767,0.017056941986083984,0.009356280005358712,True,28,sqrt,3,10,36,"{'bootstrap': True, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 36}",0.24595797707753508,0.5999802215417118,0.5092895723999683,0.3475723270677358,0.333630989807146,0.40728621757881944,0.12849381778072236,1507
477,0.18724942207336426,0.006330529468488173,0.022244930267333984,0.005903494031153788,True,28,sqrt,3,10,41,"{'bootstrap': True, 'max_depth': 28, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 41}",0.2431940798985467,0.6005305966196187,0.5191693803097996,0.35571547715816454,0.3317044935295793,0.4100628055031418,0.13047685837520404,1265
